risk_id,severity,status,area,finding,required_closure_evidence,owner_role
PREP-P0-001,P0,open,topology,"Sites config covers the Web project only; PocketBase, long-running workers, persistent volumes and their network boundary are not defined.","Approved topology diagram plus target inventory and responsibility matrix.",platform owner
PREP-P0-002,P0,open,https-secrets,"Hosted gateway preflight lacks target POCKETBASE_URL, gateway token and PocketBase server credentials; external HTTPS settings were not injected into the inspected process.","Sanitized successful preflight from the target environment and secret-manager injection record.",security/platform owner
PREP-P0-003,P0,open,render-storage,"Renderer defaults to public/renders and returns /renders URLs while Sites has no R2 binding; durable publication and replay are not established.","Persistent render volume or object-storage publication test with hash, replay and restore evidence.",platform/media owner
PREP-P0-004,P0,open,backup-restore,"No current same-point database + PocketBase storage + render-output restore drill exists.","attestations/backup-restore.json with manifest hashes, isolated restore, media sampling, RPO and RTO.",database owner
PREP-P0-005,P0,open,migration-rollback,"Migration audit concludes forward-only upgrade; a real-data forward migration and whole-snapshot rollback rehearsal is absent.","attestations/migration-rollback.json with before/after schema and count evidence.",database/release owner
PREP-P0-006,P0,open,monitoring,"Queue observer is a point-in-time script; no scheduled metrics, thresholds or real notification delivery exists.","attestations/monitoring-alerts.json with injected alert and recovery delivery evidence.",operations owner
PREP-P0-007,P0,open,capacity,"Default material workers multiplex analysis, matching and rendering; target peak capacity and starvation behavior are unknown.","attestations/worker-capacity.json with target-host p95, peak memory/disk and backlog recovery.",worker/platform owner
PREP-P0-008,P0,open,disk,"Current host has about 5.4 GiB free and reports 98% filesystem use, below the proposed 20 GiB render safety gate.","Target disk/volume capacity evidence above threshold plus low-space alert test.",platform owner
PREP-P0-009,P0,open,release-candidate,"Worktree has 118 modified/untracked paths and is not a frozen release candidate.","Clean frozen release SHA, reproducible build hash and reviewed change manifest.",release owner
PREP-P0-010,P0,open,automatic-deploy,"Repository is linked to a Sites project on main; no repository workflow exists, but control-plane auto-deploy and branch protection cannot be verified locally.","attestations/deployment-policy.json proving manual production approval and branch protection.",release/platform owner
PREP-P0-011,P0,open,temporary-url,"Material intake persists the input source_url; a signed query string could become long-lived PocketBase data.","Code fix and regression proving only redacted origin/path or source identity is stored; historical signed queries are remediated.",application/security owner
PREP-P0-012,P0,open,queue-freeze,"Read-only queue snapshot observed one active analysis job; no release drain/freeze evidence exists.","Pre-release snapshot with zero queued/active/expired jobs or an approved exception list.",operations owner
PREP-P0-013,P0,open,hosted-intake,"Material intake server route targets NEXT_PUBLIC_POCKETBASE_URL directly and does not demonstrate authenticated access to the locked hosted collection.","Hosted end-to-end intake via a server-only authenticated PocketBase path.",application/security owner
PREP-P1-001,P1,open,file-permissions,"Local PocketBase runtime database mode is 0644.","Target runtime database and backup permissions limited to the service account/backup role.",platform owner
PREP-P1-002,P1,open,supply-chain,"PocketBase setup downloads a fixed version over HTTPS but does not verify a pinned checksum/signature.","Pinned trusted checksum/signature verification and failure regression test.",platform/security owner
PREP-P1-003,P1,open,diagnostic-leak,"Render validation includes an absolute local output file path in persisted diagnostics.","Redacted diagnostics contract that exposes an artifact ID/path basename, not a host filesystem path.",application owner
PREP-P1-004,P1,open,browser-storage,"External-data session snapshot may temporarily retain expiring playback URLs in sessionStorage.","Telemetry exclusion/CSP review and explicit cleanup on import/logout/expiry.",frontend/security owner
PREP-P1-005,P1,open,dependencies,"npm audit reports zero production vulnerabilities, but npm ls reports extraneous installed packages.","Clean immutable install from the frozen lockfile on the build runner.",release owner
